theme_id,domain,domain_id,theme,description
CST-01,Strategic Thinking,ST,Analytical,Searches for reasons and causes; considers factors that affect situations.
CST-02,Strategic Thinking,ST,Context,Uses the past to understand the present; values history and origin stories.
CST-03,Strategic Thinking,ST,Futuristic,Imagines what could be; energizes self/others with a picture of the future.
CST-04,Strategic Thinking,ST,Ideation,Fascinated by ideas; finds connections between seemingly unrelated concepts.
CST-05,Strategic Thinking,ST,Input,"Collects information, resources, and artifacts; enjoys accumulating and curating."
CST-06,Strategic Thinking,ST,Intellection,"Enjoys thinking and mental activity; appreciates deep, reflective conversations."
CST-07,Strategic Thinking,ST,Learner,Loves learning and improving; energized by the process more than the outcome.
CST-08,Strategic Thinking,ST,Strategic,Quickly spots patterns and paths; creates alternative routes forward.
CST-09,Relationship Building,RB,Adaptability,Lives in the moment; flexible and responsive to changing demands.
CST-10,Relationship Building,RB,Connectedness,Believes things happen for a reason; sees links among people and events.
CST-11,Relationship Building,RB,Developer,Sees potential in others; invests in growth through small improvements.
CST-12,Relationship Building,RB,Empathy,Senses others’ feelings; intuitively understands perspectives and emotions.
CST-13,Relationship Building,RB,Harmony,Seeks consensus; looks for common ground and avoids unnecessary conflict.
CST-14,Relationship Building,RB,Includer,Brings people in; notices exclusion and works to include others.
CST-15,Relationship Building,RB,Individualization,Notices what’s unique in each person; tailors collaboration to individuals.
CST-16,Relationship Building,RB,Positivity,Brings enthusiasm and optimism; elevates energy and celebrates progress.
CST-17,Relationship Building,RB,Relator,"Prefers deep, trusting relationships; enjoys working closely with known people."
CST-18,Influencing,IN,Activator,Turns thoughts into action; impatient for progress and momentum.
CST-19,Influencing,IN,Command,Takes charge in ambiguity; comfortable making decisions and asserting direction.
CST-20,Influencing,IN,Communication,"Puts thoughts into words; explains, tells stories, and makes ideas clear."
CST-21,Influencing,IN,Competition,Measures success against others; motivated to win and improve ranking.
CST-22,Influencing,IN,Maximizer,Builds on strengths to reach excellence; turns “good” into “great.”
CST-23,Influencing,IN,Self-Assurance,Trusts an inner compass; confident taking risks and managing life.
CST-24,Influencing,IN,Significance,Wants to make a big impact; prioritizes work that feels important.
CST-25,Influencing,IN,Woo,Enjoys meeting new people; wins others over and builds quick rapport.
CST-26,Executing,EX,Achiever,Has stamina and drive; enjoys being busy and getting things done.
CST-27,Executing,EX,Arranger,Organizes resources flexibly; coordinates many variables for productivity.
CST-28,Executing,EX,Belief,Driven by enduring core values; seeks meaning and purpose in work and life.
CST-29,Executing,EX,Consistency,Seeks fairness and clear rules; treats people consistently and equitably.
CST-30,Executing,EX,Deliberative,Careful and vigilant; anticipates obstacles and weighs risks before acting.
CST-31,Executing,EX,Discipline,"Creates structure and routines; prefers order, precision, and predictability."
CST-32,Executing,EX,Focus,"Prioritizes, takes direction, and stays on track; makes necessary course corrections."
CST-33,Executing,EX,Responsibility,Takes ownership of commitments; dependable follow-through and integrity.
CST-34,Executing,EX,Restorative,Energized by solving problems; diagnoses what’s wrong and fixes it.
